77
51;1;1
52;2;1
53;3;1
54;4;1
55;1;2
56;2;2
57;3;2
58;4;2
59;5;2
60;6;2
61;1;3
62;2;3
63;3;3
64;4;3
65;5;3
66;6;3
67;7;3
87;1;4
86;2;4
69;3;4
70;4;4
71;5;4
72;6;4
74;7;4
68;1;5
85;3;5
84;4;5
73;5;5
77;6;5
78;7;5
79;8;5
15;5;6
14;5;7
75;6;7
13;5;8
29;6;8
76;7;8
12;5;9
28;6;9
42;7;9
11;5;10
27;6;10
41;7;10
10;5;11
26;6;11
40;7;11
9;5;12
25;6;12
39;7;12
50;8;12
8;5;13
24;6;13
38;7;13
49;8;13
7;5;14
23;6;14
37;7;14
48;8;14
6;5;15
22;6;15
36;7;15
47;8;15
5;5;16
21;6;16
35;7;16
46;8;16
4;5;17
20;6;17
34;7;17
45;8;17
3;5;18
19;6;18
33;7;18
44;8;18
18;6;19
32;7;19
43;8;19
